Frequency;dB;
271000000;-0.63;
273195000;-0.63;
275390000;-0.65;
277585000;-0.64;
279780000;-0.66;
281975000;-0.65;
284170000;-0.67;
286365000;-0.68;
288560000;-0.69;
290755000;-0.68;
292950000;-0.69;
295145000;-0.71;
297340000;-0.71;
299535000;-0.73;
301730000;-0.72;
303925000;-0.73;
306120000;-0.74;
308315000;-0.75;
310510000;-0.76;
312705000;-0.77;
314900000;-0.77;
317095000;-0.82;
319290000;-0.82;
321485000;-0.83;
323680000;-0.83;
325875000;-0.84;
328070000;-0.86;
330265000;-0.88;
332460000;-0.90;
334655000;-0.92;
336850000;-0.93;
339045000;-0.97;
341240000;-0.98;
343435000;-1.02;
345630000;-1.05;
347825000;-1.09;
350020000;-1.12;
352215000;-1.17;
354410000;-1.22;
356605000;-1.27;
358800000;-1.32;
360995000;-1.35;
363190000;-1.38;
365385000;-1.43;
367580000;-1.45;
369775000;-1.48;
371970000;-1.50;
374165000;-1.53;
376360000;-1.56;
378555000;-1.63;
380750000;-1.72;
382945000;-1.82;
385140000;-1.93;
387335000;-2.05;
389530000;-2.21;
391725000;-2.43;
393920000;-2.72;
396115000;-3.06;
398310000;-3.46;
400505000;-3.93;
402700000;-4.47;
404895000;-5.01;
407090000;-5.32;
409285000;-5.45;
411480000;-5.31;
413675000;-5.01;
415870000;-4.60;
418065000;-4.28;
420260000;-4.05;
422455000;-3.94;
424650000;-3.85;
426845000;-3.85;
429040000;-3.82;
431235000;-3.83;
433430000;-3.83;
435625000;-3.92;
437820000;-4.06;
440015000;-4.21;
442210000;-4.37;
444405000;-4.51;
446600000;-4.60;
448795000;-4.69;
450990000;-4.86;
453185000;-5.14;
455380000;-5.42;
457575000;-5.72;
459770000;-5.96;
461965000;-6.07;
464160000;-6.26;
466355000;-6.49;
468550000;-6.76;
470745000;-6.84;
472940000;-6.85;
475135000;-6.72;
477330000;-6.55;
479525000;-6.54;
481720000;-6.71;
483915000;-7.09;
486110000;-7.58;
488305000;-8.33;
490500000;-9.30;
492695000;-10.38;
494890000;-11.65;
497085000;-13.34;
499280000;-15.39;
501475000;-17.95;
503670000;-21.09;
505865000;-24.77;
508060000;-27.38;
510255000;-30.18;
512450000;-28.07;
514645000;-24.06;
516840000;-20.17;
519035000;-16.97;
521230000;-14.70;
523425000;-12.93;
525620000;-11.52;
527815000;-10.25;
530010000;-9.18;
532205000;-8.30;
534400000;-7.49;
536595000;-6.75;
538790000;-6.14;
540985000;-5.61;
543180000;-5.15;
545375000;-4.75;
547570000;-4.37;
549765000;-4.08;
551960000;-3.78;
554155000;-3.55;
556350000;-3.34;
558545000;-3.14;
560740000;-2.95;
562935000;-2.81;
565130000;-2.71;
567325000;-2.56;
569520000;-2.49;
571715000;-2.41;
573910000;-2.32;
576105000;-2.25;
578300000;-2.20;
580495000;-2.14;
582690000;-2.11;
584885000;-2.07;
587080000;-2.03;
589275000;-2.02;
591470000;-1.99;
593665000;-1.97;
595860000;-1.95;
598055000;-1.92;
600250000;-1.94;
602445000;-1.93;
604640000;-1.95;
606835000;-1.94;
609030000;-1.94;
611225000;-1.94;
613420000;-1.94;
615615000;-1.94;
617810000;-1.93;
620005000;-1.93;
622200000;-1.93;
624395000;-1.91;
626590000;-1.91;
628785000;-1.92;
630980000;-1.93;
633175000;-1.92;
635370000;-1.93;
637565000;-1.95;
639760000;-1.96;
641955000;-1.98;
644150000;-2.00;
646345000;-2.02;
648540000;-2.04;
650735000;-2.05;
652930000;-2.06;
655125000;-2.06;
657320000;-2.08;
659515000;-2.09;
661710000;-2.11;
663905000;-2.13;
666100000;-2.15;
668295000;-2.17;
670490000;-2.19;
672685000;-2.21;
674880000;-2.25;
677075000;-2.27;
679270000;-2.30;
681465000;-2.33;
683660000;-2.35;
685855000;-2.39;
688050000;-2.44;
690245000;-2.48;
692440000;-2.51;
694635000;-2.57;
696830000;-2.61;
699025000;-2.66;
701220000;-2.72;
703415000;-2.78;
705610000;-2.84;
707805000;-2.92;
710000000;-2.99;
